gene_symbol,translatedmRNA.apvEff,translatedmRNA.apvRvmPAdj,totalmRNA.apvEff,totalmRNA.apvRvmPAdj,translation.apvEff,translation.apvRvmPAdj,buffering.apvEff,buffering.apvRvmPAdj,singleRegMode
TXNRD3,-0.450560679,0.266404632,0.235352807,0.544603179,-0.651747445,0.032051443,0.682219327,0.013195982,translation
CFD,-1.806569568,0.017553038,-2.495277268,0.00063954,0.380123681,0.679967481,-1.403288295,0.013211236,abundance
MCMBP,0.14183018,0.702098623,0.687124062,0.040567563,-0.365043665,0.224659546,0.568768358,0.035384842,background
TAF13,0.155455404,0.672962085,0.391287287,0.257746916,-0.029095488,0.944759621,0.281307809,0.353957055,background
FAM118B,0.769678745,0.170444,0.841566092,0.017730618,0.129384491,0.867563752,0.669202607,0.04510866,abundance
SLC9A8,-0.637153264,0.088826331,-0.601984223,0.022410096,0.180721189,0.637245368,-0.371583358,0.098832365,abundance
OCLN,0.051902177,0.899616986,0.549195936,0.107771351,-0.361940089,0.203456456,0.502187794,0.054186093,background
HIST4H4,0.427483326,0.465343529,-0.029956921,0.952713941,0.448697455,0.366621077,-0.275923584,0.489394456,background
GPAA1,1.220045093,0.01316774,0.718119684,0.053955767,0.682869327,0.107208371,-0.019268547,0.963388943,translation
ADAMTSL2,-2.247237247,0.014552778,-3.313965834,0.001442112,0.456725153,0.511864596,-1.17539093,0.035095333,abundance
FAM49A,-0.988766261,0.05852492,-0.736198744,0.041405024,-0.424753329,0.460721981,-0.371796767,0.276350511,abundance
MYO1C,-0.220147511,0.568754161,-0.360054458,0.27415842,0.102543824,0.725931266,-0.165021443,0.469820089,background
NKIRAS1,-0.693640143,0.330755297,-0.231181231,0.507249244,-0.360260389,0.570724581,-0.022585879,0.94997935,background
KIF13B,-0.906000982,0.023059745,-1.155266739,0.005638793,0.045931949,0.885569618,-0.195354897,0.404473763,abundance
ADH5,-0.179837427,0.669112338,0.553724541,0.180243022,-0.551004813,0.082135744,0.742198026,0.019663039,background
HIST1H2BK,1.708348443,0.008016732,1.496963971,0.007483419,0.927888202,0.154174932,0.685194604,0.259086368,abundance
SPG7,-0.432239825,0.191244016,-0.709015319,0.045471536,-0.128885313,0.725833714,-0.404381883,0.211734875,abundance
ERO1A,0.46296888,0.309447718,0.737385739,0.021761262,-0.404374435,0.35542992,0.537660652,0.043751495,buffering
ZNF823,-0.245242793,0.716756203,-0.029465448,0.93211477,-0.234697308,0.756764915,-0.009798935,0.981062964,background
PLCG2,-0.409334332,0.492734164,-0.557682572,0.253055184,0.171538102,0.527192962,-0.188356937,0.395640879,background
S100A6,0.483846526,0.640653423,0.070599013,0.926810571,0.395530207,0.201450314,-0.299402244,0.211972302,translation
ZNF121,0.116829499,0.809223097,-0.01291895,0.971660786,0.120601049,0.820423565,-0.038735223,0.926827093,background
MPZL1,1.343762619,0.015303745,1.101210258,0.014998024,0.278795796,0.480337222,0.046905922,0.895076061,abundance
VPS13A,-0.381755093,0.284268297,0.617667363,0.18649858,-0.670853737,0.03932813,1.153183271,0.006141257,translation
MBP,-0.267888231,0.63047591,-0.254559231,0.576822464,-0.053484971,0.913731797,-0.06273877,0.863101238,background
ELOVL2,1.065795049,0.187065551,2.259569803,0.002600184,-1.619435874,0.011560409,1.452245066,0.002088803,abundance
C1orf122,0.344776348,0.386669669,-0.711208223,0.062061912,0.716294044,0.086112376,-0.917710057,0.016242567,translation
NOL8,0.698064147,0.058369135,0.765990185,0.022527606,0.120538178,0.747665437,0.278203725,0.316113624,abundance
IRAK4,0.059252453,0.921420636,-0.029161273,0.952872064,0.060261679,0.932101888,-0.03113167,0.956266966,background
